compound_encoded,TyreLife,tyre_life_norm,LapNumber,lapnumber_norm,StintNumber,LapTimeSeconds,Race,Driver
1,5.0,0.7499981250046875,5.0,0.1,1,95.59,Saudi Arabia,ALB
1,6.0,0.9999975000062501,6.0,0.12,1,95.977,Saudi Arabia,ALB
2,3.0,0.0,10.0,0.2,2,100.318,Saudi Arabia,ALB
2,4.0,0.02499999375000156,11.0,0.22,2,96.232,Saudi Arabia,ALB
2,5.0,0.04999998750000312,12.0,0.24,2,95.441,Saudi Arabia,ALB
2,6.0,0.07499998125000468,13.0,0.26,2,95.213,Saudi Arabia,ALB
2,7.0,0.09999997500000624,14.0,0.28,2,95.181,Saudi Arabia,ALB
2,8.0,0.12499996875000781,15.0,0.3,2,95.533,Saudi Arabia,ALB
2,9.0,0.14999996250000935,16.0,0.32,2,96.47,Saudi Arabia,ALB
2,10.0,0.1749999562500109,17.0,0.34,2,97.029,Saudi Arabia,ALB
2,11.0,0.19999995000001247,18.0,0.36,2,95.608,Saudi Arabia,ALB
2,12.0,0.22499994375001403,19.0,0.38,2,95.064,Saudi Arabia,ALB
2,13.0,0.24999993750001562,20.0,0.4,2,95.278,Saudi Arabia,ALB
